CreditPolicy,Purpose,IntRate,Installment,Dti,Fico,DaysWithCrLine,RevolBal,RevolUtil,InqLast6mths,Delinq2yrs,PubRec,NotFullyPaid,AnnualInc
1,debt_consolidation,0.1189,829.1,19.48,737,5639.958333,28854,52.1,0,0,0,0,85000.00038484143
1,credit_card,0.1071,228.22,14.29,707,2760.0,33623,76.7,0,0,0,0,65000.000072944706
1,debt_consolidation,0.1357,366.86,11.63,682,4710.0,3511,25.6,1,0,0,0,31999.999942980372
1,debt_consolidation,0.1008,162.34,8.1,712,2699.958333,33667,73.2,1,0,0,0,85000.00038484143
1,credit_card,0.1426,102.92,14.97,667,4066.0,4740,39.5,0,1,0,0,80799.99963565778
1,credit_card,0.0788,125.13,16.98,727,6120.041667,50807,51.0,0,0,0,0,147999.99959355473
1,debt_consolidation,0.1496,194.02,4.0,667,3180.041667,3839,76.8,0,0,1,1,45000.00005613948
1,all_other,0.1114,131.22,11.08,722,5116.0,24220,68.6,0,0,0,1,59999.99992774572
1,home_improvement,0.1134,87.19,17.25,682,3989.0,69909,51.1,1,0,0,0,90000.00006188375
1,debt_consolidation,0.1221,84.12,10.0,707,2730.041667,5630,23.0,1,0,0,0,26999.999865365404
1,debt_consolidation,0.1347,360.43,22.09,677,6713.041667,13846,71.0,2,0,1,0,33999.99987765788
1,debt_consolidation,0.1324,253.58,9.16,662,4298.0,5122,18.2,2,1,0,0,137999.9994287708
1,debt_consolidation,0.0859,316.11,15.49,767,6519.958333,6068,16.7,0,0,0,0,56000.00001583201
1,small_business,0.0714,92.82,6.5,747,4384.0,3021,4.8,0,1,0,0,99999.99950297715
1,debt_consolidation,0.0863,209.54,9.73,727,1559.958333,6282,44.6,0,0,0,0,13200.00000561709
1,major_purchase,0.1103,327.53,13.04,702,8159.958333,5394,53.4,1,0,0,0,46115.99998372827
1,all_other,0.1317,77.69,2.26,672,3895.958333,2211,88.4,0,0,0,0,37151.99983290448
1,credit_card,0.0894,476.58,7.07,797,6510.958333,7586,52.7,1,0,0,0,109999.99947479916
1,debt_consolidation,0.1039,584.12,3.8,712,2760.0,8311,59.8,0,0,0,0,36000.00009222308
1,major_purchase,0.1513,173.65,2.74,667,1126.958333,591,84.4,3,0,0,0,59999.99992774572
1,all_other,0.08,188.02,16.08,772,4888.958333,29797,23.2,1,0,0,0,74999.99981111639
1,all_other,0.0863,474.42,2.59,797,11951.0,5656,27.6,0,0,0,0,49999.99977948582
1,credit_card,0.1355,339.6,7.94,662,1939.9583329999998,21162,57.7,0,0,0,0,99999.99950297715
1,credit_card,0.0788,484.85,7.05,782,5640.041667,16931,34.6,1,0,0,0,125000.00046444529
1,debt_consolidation,0.1229,320.19,8.8,672,3760.958333,4822,58.1,0,0,1,0,78000.00033760519
1,all_other,0.0901,159.03,10.0,712,1553.958333,14354,36.6,0,2,0,0,250000.00078890388
1,all_other,0.0743,155.38,0.28,802,4649.958333,1576,5.7,1,0,0,0,65000.000072944706
1,debt_consolidation,0.1375,255.43,14.29,662,1318.958333,4175,51.5,0,1,0,0,21999.999992510035
1,all_other,0.0743,155.38,0.28,772,4516.958333,3164,13.7,0,0,0,0,200000.00089396513
1,all_other,0.0743,155.38,3.72,812,6778.958333,85607,0.7,0,0,0,0,200000.00089396513
1,debt_consolidation,0.0807,156.84,2.3,742,3148.958333,9698,19.4,0,0,0,0,99999.99950297715
1,credit_card,0.1028,275.38,6.4,692,7469.958333,8847,26.9,1,1,0,0,18000.000002190576
1,home_improvement,0.0743,155.38,0.0,777,7128.958333,6053,19.5,0,0,0,0,149999.99953824104
1,home_improvement,0.0807,78.42,11.33,762,6059.958333,7274,13.1,0,0,0,0,109999.99947479916
1,credit_card,0.087,158.3,15.55,757,4770.0,66033,23.0,0,0,0,0,74999.99981111639
1,all_other,0.0743,155.38,3.83,772,2535.0,3660,6.8,0,0,0,0,94999.99994464558
1,credit_card,0.0743,155.38,0.31,787,3540.0,216,0.6,0,0,0,0,85000.00038484143
1,credit_card,0.1122,164.23,1.21,672,3990.0,27185,16.1,3,0,1,0,79999.99970751854
1,debt_consolidation,0.0996,161.25,8.03,707,4320.0,28329,48.6,1,0,0,0,48000.000005278656
1,home_improvement,0.0933,159.77,11.93,717,4498.958333,60568,39.2,1,0,0,0,180000.00002297742
1,home_improvement,0.0807,156.84,5.55,742,4019.0,40934,26.3,0,0,0,0,180000.00002297742
1,debt_consolidation,0.0743,155.38,2.29,777,3540.0,8379,16.9,0,0,0,0,119999.99978829804
1,small_business,0.087,94.98,14.54,752,2460.0,3660,7.8,1,0,0,0,24999.999903741576
1,home_improvement,0.1028,97.2,0.0,677,3779.958333,0,0.0,0,1,0,0,200000.00089396513
1,credit_card,0.1122,164.23,18.64,702,5190.0,15840,47.1,0,0,0,0,29999.999980671204
1,credit_card,0.0838,167.02,14.37,797,5610.958333,6844,14.4,0,0,0,0,73999.99983821329
1,educational,0.0775,168.6,3.0,762,6659.958333,1321,16.5,0,0,0,0,8000.000002704212
1,all_other,0.0838,160.72,14.78,772,4379.0,4737,23.9,0,0,0,0,31999.999942980372
1,credit_card,0.0901,159.03,9.96,722,3089.958333,23489,37.6,0,0,0,0,72999.99999047139
1,debt_consolidation,0.0743,178.69,0.27,792,7488.958333,2817,10.2,0,0,0,0,125000.00046444529
1,credit_card,0.0743,155.38,1.12,782,5807.0,1783,0.0,1,0,0,0,45000.00005613948
1,small_business,0.1028,323.98,10.7,712,1379.0,3534,54.4,0,0,0,0,27376.000105891086
1,small_business,0.1059,813.65,4.05,762,2729.958333,2422,23.3,0,0,0,0,48000.000005278656
1,educational,0.0996,112.87,16.44,712,1649.958333,2864,41.1,1,0,0,0,13499.999994241962
1,debt_consolidation,0.1596,94.88,12.57,627,1409.0,3075,92.3,1,0,0,0,52199.999797947916
1,small_business,0.1059,398.69,17.12,747,14008.958330000001,17214,8.1,2,1,0,0,59999.99992774572
1,credit_card,0.1154,39.6,2.04,662,1139.0,1153,75.8,2,0,0,0,20000.000009277435
1,credit_card,0.1343,678.08,10.15,682,4209.958333,41674,74.1,0,0,0,1,144999.99979660686
1,credit_card,0.1249,401.37,15.0,682,4479.0,43039,93.4,3,0,0,0,74999.99981111639
1,all_other,0.0964,205.45,7.72,712,2293.958333,3362,69.3,0,0,0,0,59999.99992774572
1,debt_consolidation,0.1186,397.75,7.14,682,8730.0,11868,71.9,0,2,0,0,65000.000072944706
1,all_other,0.0743,155.38,2.55,772,8189.958333,2562,14.0,2,0,0,0,39999.99987615706
1,all_other,0.1028,113.39,1.5,682,1410.0,1882,32.4,0,0,0,0,20000.000009277435
1,debt_consolidation,0.1186,99.44,7.47,667,2550.0,1064,70.9,2,0,1,0,36152.99993870255
1,credit_card,0.0807,109.79,8.52,752,4979.958333,6432,6.0,0,1,0,0,98000.00023003446
1,all_other,0.1059,32.55,14.47,687,1110.0,4485,36.9,1,0,0,1,33989.999908561396
1,all_other,0.0996,112.87,11.06,702,4979.958333,16310,20.5,0,1,0,0,78000.00033760519
1,debt_consolidation,0.0964,160.51,8.55,712,5940.0,20969,40.2,0,0,0,0,130000.00007309657
1,debt_consolidation,0.1375,340.57,17.38,707,2699.958333,22213,65.9,0,0,0,0,34999.99998349573
1,home_improvement,0.0775,156.11,6.48,752,5339.958333,2160,2.3,1,0,0,0,224999.9997330245
1,credit_card,0.0743,155.38,4.56,812,9809.0,813,1.0,0,0,0,0,69999.9999277953
1,home_improvement,0.0807,235.25,2.72,757,5202.0,23678,24.4,4,0,0,0,149999.99953824104
1,debt_consolidation,0.0996,257.99,15.13,722,2640.0,11289,47.8,3,0,0,0,48000.000005278656
1,small_business,0.1501,225.37,6.45,677,6240.0,56411,75.3,0,0,0,1,212999.99900069716
1,home_improvement,0.0964,80.26,20.0,772,4920.958333,269,3.8,3,0,0,1,74999.99981111639
1,home_improvement,0.128,84.0,20.0,682,5492.0,3408,35.1,1,0,0,1,31999.999942980372
1,debt_consolidation,0.1122,507.46,13.5,712,5368.958333,6513,34.3,3,0,1,1,39999.99987615706
1,educational,0.0743,124.31,3.45,772,1739.9583329999998,330,11.0,0,0,0,0,39999.99987615706
1,credit_card,0.087,63.32,6.07,712,2550.0,5967,19.8,1,0,0,0,69999.9999277953
1,all_other,0.1091,130.79,18.0,707,2192.0,5533,79.6,1,0,0,0,18000.000002190576
1,home_improvement,0.0775,93.67,2.14,762,8370.0,21050,1.0,0,0,0,0,125000.00046444529
1,all_other,0.0775,93.67,5.35,762,8370.0,21050,0.7,0,0,0,0,49999.99977948582
1,all_other,0.087,88.65,15.0,742,3026.0,8155,14.9,1,0,0,0,119999.99978829804
1,all_other,0.0964,128.41,15.0,722,3026.0,8155,14.9,1,0,0,0,99999.99950297715
1,home_improvement,0.087,94.98,12.23,737,2729.958333,3678,30.7,0,0,0,0,61999.999750311785
1,debt_consolidation,0.1217,179.8,7.1,662,2944.0,2040,36.2,2,0,0,0,34999.99998349573
1,credit_card,0.1533,444.05,19.52,667,2700.958333,33074,68.8,2,0,0,0,59999.99992774572
1,all_other,0.0775,124.89,3.46,747,2519.0,1918,17.1,0,0,0,0,61799.999787050656
1,credit_card,0.1533,644.3,5.24,662,1770.0,22379,62.2,0,0,0,0,90000.00006188375
1,small_business,0.0964,642.02,2.86,737,2190.0,10296,42.5,0,0,0,1,95999.99995680261
1,small_business,0.1154,104.76,12.24,672,1289.958333,2867,55.1,3,0,0,1,14999.999998734802
1,debt_consolidation,0.1122,157.66,12.36,682,1770.0,12310,86.1,0,0,0,0,29999.999980671204
1,debt_consolidation,0.087,383.87,4.8,767,13349.95833,61921,39.1,0,0,0,0,149999.99953824104
1,credit_card,0.1122,217.6,18.0,702,3725.0,16738,26.1,2,0,0,0,87999.99969548982
1,all_other,0.0807,297.99,3.49,792,5939.0,40384,9.2,1,0,0,0,63000.0002914588
1,debt_consolidation,0.0775,156.11,5.0,762,2131.0,1359,5.6,2,0,0,0,45000.00005613948
1,debt_consolidation,0.1154,329.95,20.0,727,10292.0,107501,44.8,2,0,0,0,224999.9997330245
1,all_other,0.0807,313.67,0.72,787,8010.0,3054,5.6,3,0,0,0,172999.99939797458
