game_id,h_team,a_team,minutes,h_goals,a_goals,home1,home2,home3,home4,away1,away2,away3,away4
1,USA,Japan,4.252968954,4,9,USA_p4,USA_p1,USA_p3,USA_p6,Japan_p12,Japan_p4,Japan_p8,Japan_p6
1,USA,Japan,5.688809103,6,11,USA_p1,USA_p7,USA_p6,USA_p5,Japan_p7,Japan_p10,Japan_p8,Japan_p12
1,USA,Japan,1.149556623,0,1,USA_p8,USA_p1,USA_p4,USA_p5,Japan_p5,Japan_p3,Japan_p7,Japan_p10
1,USA,Japan,3.511617187,7,5,USA_p2,USA_p7,USA_p8,USA_p6,Japan_p2,Japan_p4,Japan_p10,Japan_p12
1,USA,Japan,2.163138646,7,5,USA_p9,USA_p5,USA_p8,USA_p7,Japan_p8,Japan_p6,Japan_p10,Japan_p1
1,USA,Japan,2.155971509,0,6,USA_p2,USA_p4,USA_p7,USA_p12,Japan_p1,Japan_p8,Japan_p11,Japan_p10
1,USA,Japan,1.496070951,4,0,USA_p7,USA_p1,USA_p4,USA_p2,Japan_p5,Japan_p4,Japan_p3,Japan_p6
1,USA,Japan,4.248618612,8,13,USA_p1,USA_p6,USA_p10,USA_p12,Japan_p10,Japan_p9,Japan_p12,Japan_p4
1,USA,Japan,1.945644603,0,5,USA_p7,USA_p8,USA_p3,USA_p6,Japan_p8,Japan_p7,Japan_p12,Japan_p3
1,USA,Japan,3.335241828,4,4,USA_p11,USA_p8,USA_p9,USA_p10,Japan_p3,Japan_p1,Japan_p5,Japan_p11
1,USA,Japan,2.052361984,2,4,USA_p2,USA_p5,USA_p4,USA_p1,Japan_p6,Japan_p10,Japan_p3,Japan_p5
2,USA,Great.Britain,2.612121918,0,1,USA_p6,USA_p11,USA_p1,USA_p9,Great.Britain_p3,Great.Britain_p4,Great.Britain_p5,Great.Britain_p1
2,USA,Great.Britain,3.982251306,8,5,USA_p11,USA_p8,USA_p9,USA_p4,Great.Britain_p3,Great.Britain_p6,Great.Britain_p5,Great.Britain_p10
2,USA,Great.Britain,2.08524562,1,2,USA_p3,USA_p2,USA_p4,USA_p6,Great.Britain_p2,Great.Britain_p12,Great.Britain_p9,Great.Britain_p11
2,USA,Great.Britain,1.362451012,1,1,USA_p9,USA_p12,USA_p8,USA_p6,Great.Britain_p12,Great.Britain_p5,Great.Britain_p7,Great.Britain_p8
2,USA,Great.Britain,1.804795834,2,4,USA_p6,USA_p1,USA_p8,USA_p5,Great.Britain_p1,Great.Britain_p10,Great.Britain_p7,Great.Britain_p9
2,USA,Great.Britain,1.549697764,0,0,USA_p2,USA_p6,USA_p12,USA_p9,Great.Britain_p4,Great.Britain_p3,Great.Britain_p10,Great.Britain_p9
2,USA,Great.Britain,3.792525966,3,4,USA_p8,USA_p5,USA_p6,USA_p2,Great.Britain_p4,Great.Britain_p5,Great.Britain_p6,Great.Britain_p10
2,USA,Great.Britain,1.840040711,4,5,USA_p8,USA_p9,USA_p5,USA_p7,Great.Britain_p11,Great.Britain_p9,Great.Britain_p4,Great.Britain_p5
2,USA,Great.Britain,4.139946736,10,5,USA_p10,USA_p1,USA_p4,USA_p12,Great.Britain_p5,Great.Britain_p9,Great.Britain_p10,Great.Britain_p7
2,USA,Great.Britain,1.231354211,3,0,USA_p6,USA_p10,USA_p12,USA_p8,Great.Britain_p8,Great.Britain_p7,Great.Britain_p12,Great.Britain_p1
2,USA,Great.Britain,1.596452138,3,7,USA_p6,USA_p4,USA_p12,USA_p3,Great.Britain_p4,Great.Britain_p8,Great.Britain_p1,Great.Britain_p12
2,USA,Great.Britain,2.892258048,6,1,USA_p11,USA_p8,USA_p6,USA_p9,Great.Britain_p3,Great.Britain_p1,Great.Britain_p9,Great.Britain_p5
2,USA,Great.Britain,3.110858737,4,7,USA_p5,USA_p6,USA_p9,USA_p11,Great.Britain_p3,Great.Britain_p9,Great.Britain_p11,Great.Britain_p5
3,USA,Canada,0.6335168518,0,0,USA_p9,USA_p4,USA_p2,USA_p12,Canada_p7,Canada_p4,Canada_p10,Canada_p6
3,USA,Canada,2.089695398,4,3,USA_p9,USA_p12,USA_p10,USA_p8,Canada_p11,Canada_p6,Canada_p10,Canada_p5
3,USA,Canada,0.7014762899,5,1,USA_p5,USA_p7,USA_p4,USA_p11,Canada_p2,Canada_p6,Canada_p5,Canada_p9
3,USA,Canada,2.718042531,0,3,USA_p4,USA_p11,USA_p10,USA_p2,Canada_p7,Canada_p11,Canada_p12,Canada_p6
3,USA,Canada,6.470463258,9,3,USA_p6,USA_p8,USA_p10,USA_p11,Canada_p8,Canada_p10,Canada_p1,Canada_p2
3,USA,Canada,4.569028029,7,4,USA_p5,USA_p9,USA_p7,USA_p8,Canada_p9,Canada_p10,Canada_p1,Canada_p12
3,USA,Canada,2.691752937,4,4,USA_p7,USA_p5,USA_p4,USA_p11,Canada_p11,Canada_p3,Canada_p7,Canada_p10
3,USA,Canada,1.505637732,5,0,USA_p1,USA_p9,USA_p4,USA_p12,Canada_p6,Canada_p4,Canada_p2,Canada_p5
3,USA,Canada,4.705878742,13,4,USA_p8,USA_p11,USA_p7,USA_p6,Canada_p9,Canada_p7,Canada_p10,Canada_p12
3,USA,Canada,5.123194556,9,6,USA_p7,USA_p12,USA_p8,USA_p6,Canada_p2,Canada_p9,Canada_p1,Canada_p4
3,USA,Canada,0.7913136756,4,0,USA_p4,USA_p1,USA_p2,USA_p10,Canada_p2,Canada_p9,Canada_p5,Canada_p6
4,USA,France,3.44712988,10,3,USA_p9,USA_p10,USA_p8,USA_p3,France_p7,France_p1,France_p9,France_p8
4,USA,France,5.456739957,12,5,USA_p2,USA_p9,USA_p10,USA_p12,France_p6,France_p10,France_p8,France_p5
4,USA,France,1.738672084,3,3,USA_p4,USA_p7,USA_p2,USA_p1,France_p5,France_p11,France_p6,France_p4
4,USA,France,4.821980802,4,8,USA_p8,USA_p4,USA_p9,USA_p11,France_p1,France_p7,France_p4,France_p10
4,USA,France,4.466804863,10,2,USA_p8,USA_p12,USA_p10,USA_p6,France_p5,France_p9,France_p4,France_p6
4,USA,France,2.719793144,1,1,USA_p5,USA_p6,USA_p12,USA_p7,France_p12,France_p2,France_p5,France_p6
4,USA,France,1.77082203,3,3,USA_p9,USA_p3,USA_p2,USA_p4,France_p7,France_p5,France_p12,France_p2
